time,open,high,low,close,tick_volume,spread,real_volume
2018-09-26,1201.194,1202.393,1190.49,1196.461,74076,150,0
2018-09-27,1196.408,1198.555,1181.877,1183.541,76433,150,0
2018-09-28,1183.53,1193.699,1180.744,1191.768,72587,150,0
2018-09-30,1191.41,1192.131,1190.673,1190.872,1854,205,0
2018-10-01,1190.877,1192.04,1184.552,1188.994,71690,150,0
2018-10-02,1189.013,1208.16,1188.721,1205.487,80538,150,0
2018-10-03,1205.491,1208.216,1196.457,1197.928,79670,150,0
2018-10-04,1197.93,1206.649,1195.979,1199.055,80859,150,0
2018-10-05,1199.048,1205.713,1197.22,1202.678,72844,150,0
2018-10-07,1203.12,1203.97,1202.859,1203.755,1546,180,0
2018-10-08,1203.753,1204.04,1182.418,1190.65,74773,150,0
2018-10-09,1190.672,1191.805,1183.311,1189.84,76690,150,0
2018-10-10,1189.827,1194.775,1185.282,1193.88,78062,150,0
2018-10-11,1193.905,1226.272,1191.24,1221.251,96895,150,0
2018-10-12,1221.266,1223.444,1215.814,1217.801,56398,218,0
2018-10-14,1218.857,1220.249,1218.857,1219.204,1319,218,0
2018-10-15,1219.203,1233.204,1219.203,1226.768,55290,210,0
2018-10-16,1226.77,1232.331,1223.343,1224.911,53841,206,0
2018-10-17,1224.911,1229.433,1220.597,1222.194,57936,204,0
2018-10-18,1222.195,1230.053,1218.669,1225.835,59274,211,0
2018-10-19,1225.834,1230.727,1223.113,1226.292,54756,190,0
2018-10-21,1228.066,1228.122,1226.754,1227.274,2225,228,0
2018-10-22,1227.297,1229.485,1220.088,1222.323,51754,222,0
2018-10-23,1222.321,1239.675,1221.89,1230.884,57730,216,0
2018-10-24,1230.866,1235.205,1225.607,1235.166,59119,210,0
2018-10-25,1235.207,1239.116,1228.072,1231.772,60178,200,0
2018-10-26,1231.742,1243.354,1230.045,1233.594,66020,195,0
2018-10-28,1233.097,1233.928,1232.671,1232.738,2118,192,0
2018-10-29,1232.757,1235.328,1224.317,1230.052,71621,150,0
2018-10-30,1230.065,1230.548,1219.892,1222.556,62889,183,0
2018-10-31,1222.56,1222.812,1211.958,1216.016,60780,173,0
2018-11-01,1216.016,1237.33,1215.883,1232.947,64135,169,0
2018-11-02,1232.959,1236.396,1229.748,1232.876,65481,167,0
2018-11-04,1233.117,1234.183,1233.117,1234.042,1462,167,0
2018-11-05,1234.076,1235.088,1226.875,1231.021,56561,160,0
2018-11-06,1231.026,1235.855,1223.466,1227.877,55311,221,0
2018-11-07,1227.878,1236.346,1222.912,1226.04,66695,213,0
2018-11-08,1226.03,1226.861,1220.112,1223.048,60967,204,0
2018-11-09,1223.047,1223.248,1206.739,1209.584,59529,199,0
2018-11-11,1209.544,1210.727,1209.217,1210.726,1424,224,0
2018-11-12,1210.723,1211.388,1200.085,1202.29,54901,216,0
2018-11-13,1202.296,1205.123,1196.294,1203.024,60926,209,0
2018-11-14,1203.022,1216.282,1197.669,1210.97,65356,204,0
2018-11-15,1210.959,1216.339,1207.648,1213.946,65255,196,0
2018-11-16,1213.961,1225.238,1213.826,1221.559,58274,191,0
2018-11-18,1221.955,1222.686,1221.555,1222.522,1336,193,0
2018-11-19,1222.523,1225.16,1218.009,1224.101,56687,187,0
2018-11-20,1224.1,1228.706,1219.922,1221.625,60471,181,0
2018-11-21,1221.627,1230.015,1219.783,1225.745,54353,180,0
2018-11-22,1225.748,1229.014,1224.873,1227.373,36160,205,0
2018-11-23,1227.372,1228.48,1220.299,1222.983,41975,222,0
2018-11-25,1223.581,1224.339,1223.283,1224.3,1429,223,0
2018-11-26,1224.301,1227.983,1221.685,1222.612,50919,218,0
2018-11-27,1222.626,1225.205,1211.898,1214.449,53272,214,0
2018-11-28,1214.449,1226.609,1211.169,1221.009,55028,216,0
2018-11-29,1221.008,1228.931,1220.668,1224.258,57062,209,0
2018-11-30,1224.262,1225.493,1216.663,1222.016,50161,204,0
2018-12-02,1223.023,1223.174,1221.97,1222.05,1600,211,0
2018-12-03,1222.058,1234.883,1221.28,1231.169,58330,204,0
2018-12-04,1231.176,1241.896,1230.498,1238.768,61145,196,0
2018-12-05,1238.722,1238.987,1233.326,1238.256,44104,195,0
2018-12-06,1238.251,1244.259,1234.732,1237.38,63674,221,0
2018-12-07,1237.366,1249.978,1237.29,1248.211,57352,226,0
2018-12-09,1250.188,1250.477,1248.844,1248.988,1765,234,0
2018-12-10,1248.988,1250.265,1241.6,1244.106,58091,222,0
2018-12-11,1244.11,1249.461,1241.008,1243.09,56509,222,0
2018-12-12,1243.089,1247.163,1241.987,1246.085,55675,217,0
2018-12-13,1246.086,1246.679,1240.099,1242.442,54043,212,0
2018-12-14,1242.445,1242.975,1232.889,1238.244,52015,215,0
2018-12-16,1237.299,1237.913,1236.962,1237.071,1175,236,0
2018-12-17,1237.075,1248.032,1235.793,1245.848,51607,225,0
2018-12-18,1245.848,1250.309,1245.033,1249.468,53870,219,0
2018-12-19,1249.474,1257.967,1241.503,1244.137,62019,211,0
2018-12-20,1244.113,1266.419,1242.739,1261.947,68973,205,0
2018-12-21,1261.961,1262.697,1253.951,1255.655,59029,197,0
2018-12-23,1258.6,1259.027,1257.98,1258.858,1537,228,0
2018-12-24,1258.847,1269.488,1258.768,1268.232,46075,230,0
2018-12-26,1273.719,1278.99,1264.572,1269.12,61059,235,0
2018-12-27,1269.123,1278.876,1266.638,1274.689,65920,225,0
2018-12-28,1274.668,1282.053,1274.251,1280.724,59272,226,0
2018-12-30,1280.074,1280.074,1278.913,1279.756,1305,228,0
2018-12-31,1279.756,1284.009,1277.432,1282.507,46010,225,0
2019-01-02,1281.143,1290.153,1278.603,1285.846,60195,233,0
2019-01-03,1285.835,1295.181,1284.588,1295.159,67129,227,0
2019-01-04,1295.157,1298.467,1276.643,1284.718,65550,217,0
2019-01-06,1285.549,1285.938,1284.114,1284.203,1584,216,0
2019-01-07,1284.201,1295.0,1282.631,1288.844,59536,210,0
2019-01-08,1288.845,1290.159,1279.375,1285.131,58849,203,0
2019-01-09,1285.13,1293.82,1280.111,1292.864,61732,198,0
2019-01-10,1292.873,1297.004,1286.093,1287.914,60141,231,0
2019-01-11,1287.925,1295.105,1286.982,1287.468,55036,224,0
2019-01-13,1288.078,1288.572,1287.884,1288.107,1332,224,0
2019-01-14,1288.102,1295.802,1287.934,1291.468,55337,218,0
2019-01-15,1291.471,1294.617,1286.724,1289.585,59561,210,0
2019-01-16,1289.586,1294.911,1287.899,1292.943,55501,206,0
2019-01-17,1292.943,1295.299,1288.779,1292.281,56047,198,0
2019-01-18,1292.283,1292.398,1280.615,1281.482,53929,192,0
2019-01-20,1282.538,1283.237,1282.464,1282.578,1277,193,0
2019-01-21,1282.587,1283.519,1276.77,1279.645,37332,188,0
2019-01-22,1279.649,1285.441,1277.405,1284.553,53101,185,0
2019-01-23,1284.559,1286.46,1278.67,1283.727,52297,182,0
2019-01-24,1283.723,1284.749,1276.792,1281.339,54623,231,0
2019-01-25,1281.338,1303.585,1279.946,1303.105,54425,227,0
2019-01-27,1302.403,1302.517,1299.918,1300.004,1515,241,0
2019-01-28,1300.002,1304.369,1297.679,1303.816,52473,235,0
2019-01-29,1303.823,1311.923,1302.677,1310.694,53551,237,0
2019-01-30,1310.7,1323.308,1309.012,1319.211,58029,233,0
2019-01-31,1319.211,1326.176,1317.425,1321.024,57271,224,0
2019-02-01,1321.026,1323.471,1316.102,1317.652,53919,219,0
2019-02-03,1317.638,1317.886,1316.529,1317.116,1317,219,0
2019-02-04,1317.133,1317.485,1308.627,1311.736,51850,212,0
2019-02-05,1311.737,1316.817,1310.721,1314.953,50701,207,0
2019-02-06,1314.948,1315.779,1305.718,1306.605,51436,203,0
2019-02-07,1306.596,1311.889,1302.797,1310.419,54701,197,0
2019-02-08,1310.427,1315.583,1307.77,1313.957,49509,196,0
2019-02-10,1313.52,1313.932,1313.372,1313.651,1182,195,0
2019-02-11,1313.637,1314.82,1303.694,1307.749,51997,190,0
2019-02-12,1307.748,1314.713,1306.502,1310.253,52814,187,0
2019-02-13,1310.25,1318.083,1305.036,1307.607,55255,183,0
2019-02-14,1307.612,1314.308,1302.365,1311.89,57632,178,0
2019-02-15,1311.891,1322.507,1311.365,1321.083,51942,239,0
2019-02-17,1320.975,1321.303,1320.583,1321.084,1460,246,0
2019-02-18,1321.101,1327.572,1320.844,1326.386,37424,243,0
2019-02-19,1326.386,1341.724,1322.82,1339.516,54530,241,0
2019-02-20,1339.516,1346.657,1336.863,1340.575,59232,233,0
2019-02-21,1340.573,1341.444,1320.91,1325.818,62332,221,0
2019-02-22,1325.818,1333.047,1321.512,1327.794,54698,214,0
2019-02-24,1327.607,1328.511,1327.511,1327.71,1341,218,0
2019-02-25,1327.717,1332.513,1325.132,1327.498,55306,210,0
2019-02-26,1327.502,1330.145,1323.487,1329.22,54852,204,0
2019-02-27,1329.212,1329.852,1316.911,1321.107,52795,197,0
2019-02-28,1321.086,1327.241,1312.565,1314.18,57159,191,0
2019-03-01,1314.18,1315.118,1290.161,1293.279,58635,233,0
2019-03-03,1295.386,1296.153,1295.016,1295.19,1688,232,0
2019-03-04,1295.206,1297.002,1282.833,1287.066,57075,221,0
2019-03-05,1287.065,1289.509,1281.209,1287.907,55833,215,0
2019-03-06,1287.909,1290.858,1283.601,1287.071,55293,208,0
2019-03-07,1287.096,1288.961,1280.832,1285.953,55667,202,0
2019-03-08,1285.971,1300.681,1285.198,1298.274,58795,198,0
2019-03-10,1296.869,1297.359,1296.613,1297.21,1290,241,0
2019-03-11,1297.214,1299.054,1290.453,1292.538,48100,233,0
2019-03-12,1292.576,1302.114,1292.422,1301.879,50404,227,0
2019-03-13,1301.908,1311.195,1301.674,1309.352,49645,223,0
2019-03-14,1309.353,1309.757,1292.842,1296.08,52470,232,0
2019-03-15,1296.081,1306.327,1293.963,1302.208,49179,225,0
2019-03-17,1302.109,1302.301,1300.568,1300.579,2298,234,0
2019-03-18,1300.586,1306.64,1298.185,1303.442,47914,229,0
2019-03-19,1303.445,1310.827,1303.414,1306.199,48476,223,0
2019-03-20,1306.189,1316.902,1298.671,1315.391,56333,219,0
2019-03-21,1315.392,1320.305,1303.262,1308.571,55424,230,0
2019-03-22,1308.575,1314.894,1306.82,1313.223,53581,222,0
2019-03-24,1313.47,1313.771,1311.644,1311.644,2419,226,0
2019-03-25,1311.608,1324.425,1310.994,1321.287,52107,219,0
2019-03-26,1321.3,1322.142,1312.681,1316.399,53373,236,0
2019-03-27,1316.408,1319.235,1308.129,1309.363,56269,234,0
2019-03-28,1309.36,1312.26,1288.539,1291.52,55807,222,0
2019-03-29,1291.526,1299.724,1286.575,1292.057,52863,217,0
