target,lot,step,max_l,mode,use_trix,net_profit,final_balance,max_dd_pct,harvest_count,total_trades,roi_pct
75.0,0.08,300.0,2,per_order,False,3506.416796875703,13506.416796875703,28.818136859349753,260,1220,35.064167968757026
50.0,0.1,300.0,2,per_order,True,3498.9960937505293,13498.99609375053,24.060495076850135,283,946,34.989960937505295
50.0,0.1,300.0,3,per_order,True,3498.9960937505293,13498.99609375053,24.060495076850135,283,946,34.989960937505295
50.0,0.1,300.0,4,per_order,True,3498.9960937505293,13498.99609375053,24.060495076850135,283,946,34.989960937505295
100.0,0.1,400.0,3,per_order,False,3463.022949219603,13463.022949219603,44.7828218828447,241,1181,34.63022949219603
100.0,0.1,400.0,4,per_order,False,3463.022949219603,13463.022949219603,44.7828218828447,241,1181,34.63022949219603
50.0,0.08,400.0,2,per_order,False,3425.601171875547,13425.601171875547,27.042060091990482,304,1141,34.25601171875547
50.0,0.08,400.0,4,per_order,False,3425.601171875547,13425.601171875547,27.042060091990482,304,1141,34.25601171875547
50.0,0.08,400.0,3,per_order,False,3425.601171875547,13425.601171875547,27.042060091990482,304,1141,34.25601171875547
100.0,0.05,300.0,3,per_order,False,3364.48876953125,13364.48876953125,21.595440393773565,188,1417,33.6448876953125
75.0,0.1,300.0,3,basket,False,3349.0166015632167,13349.016601563217,41.60463600647932,267,1206,33.49016601563217
75.0,0.1,300.0,2,basket,False,3349.0166015632167,13349.016601563217,41.60463600647932,267,1206,33.49016601563217
75.0,0.1,300.0,4,basket,False,3349.0166015632167,13349.016601563217,41.60463600647932,267,1206,33.49016601563217
50.0,0.08,500.0,2,basket,False,3319.995312500505,13319.995312500505,30.423858891548576,279,1093,33.19995312500505
50.0,0.08,500.0,4,basket,False,3319.995312500505,13319.995312500505,30.423858891548576,279,1093,33.19995312500505
50.0,0.08,500.0,3,basket,False,3319.995312500505,13319.995312500505,30.423858891548576,279,1093,33.19995312500505
100.0,0.1,400.0,2,per_order,False,3313.0239257820995,13313.0239257821,46.246940914971866,240,1178,33.13023925782099
75.0,0.1,400.0,2,per_order,False,3271.0317382819994,13271.031738282,40.63965874695635,276,1152,32.710317382819994
75.0,0.1,400.0,3,per_order,False,3271.0317382819994,13271.031738282,40.63965874695635,276,1152,32.710317382819994
75.0,0.1,400.0,4,per_order,False,3271.0317382819994,13271.031738282,40.63965874695635,276,1152,32.710317382819994
50.0,0.08,500.0,3,per_order,False,3225.596093750515,13225.596093750515,30.5231286609359,291,1090,32.25596093750515
50.0,0.08,500.0,2,per_order,False,3225.596093750515,13225.596093750515,30.5231286609359,291,1090,32.25596093750515
50.0,0.08,500.0,4,per_order,False,3225.596093750515,13225.596093750515,30.5231286609359,291,1090,32.25596093750515
100.0,0.08,300.0,4,per_order,True,3209.616406250643,13209.616406250643,23.1756741789218,192,1020,32.09616406250643
100.0,0.08,300.0,3,per_order,True,3207.2164062506417,13207.216406250642,23.181021586738012,192,1019,32.07216406250642
100.0,0.05,300.0,4,per_order,False,3151.988769531272,13151.988769531272,23.079207104512324,189,1435,31.519887695312722
75.0,0.1,500.0,3,per_order,False,3145.0219726569594,13145.02197265696,44.70834735263968,265,1104,31.450219726569596
75.0,0.1,500.0,4,per_order,False,3145.0219726569594,13145.02197265696,44.70834735263968,265,1104,31.450219726569596
75.0,0.1,500.0,2,per_order,False,3145.0219726569594,13145.02197265696,44.70834735263968,265,1104,31.450219726569596
50.0,0.1,300.0,3,basket,False,3144.0039062506366,13144.003906250637,30.80289859897272,325,1189,31.440039062506365
50.0,0.1,300.0,2,basket,False,3144.0039062506366,13144.003906250637,30.80289859897272,325,1189,31.440039062506365
50.0,0.1,300.0,4,basket,False,3144.0039062506366,13144.003906250637,30.80289859897272,325,1189,31.440039062506365
