mode,buffer,sl,step,lock,trades,wr,net,pf,max_dd,min_bal
LIMIT,10.0,15.0,15.0,300.0,52,21.153846153846153,-2218.3550000000546,0.5014730932936491,3795.979999999993,1198.2450000000072
LIMIT,10.0,15.0,15.0,500.0,52,19.230769230769234,-1667.1900000001224,0.6576411555912183,4188.5600000000595,805.6649999999408
LIMIT,10.0,15.0,15.0,800.0,52,17.307692307692307,-2227.050000000094,0.5658530737087579,4748.420000000031,245.80499999996937
LIMIT,10.0,15.0,15.0,1000.0,52,17.307692307692307,-2305.650000000077,0.5505305850324899,4748.420000000031,245.80499999996937
LIMIT,10.0,20.0,8.0,300.0,52,19.230769230769234,507.259999999907,1.1239544413790516,3054.5900000000283,1939.634999999972
LIMIT,10.0,20.0,8.0,500.0,52,13.461538461538462,-354.5000000000791,0.9210490564860975,3916.3500000000136,1077.8749999999868
LIMIT,10.0,20.0,8.0,800.0,52,13.461538461538462,119.94499999987147,1.0267130350345917,3441.905000000063,1552.3199999999374
LIMIT,10.0,20.0,8.0,1000.0,52,13.461538461538462,119.94499999987147,1.0267130350345917,3441.905000000063,1552.3199999999374
LIMIT,10.0,20.0,10.0,300.0,52,23.076923076923077,-290.22000000008916,0.9331646059355301,3172.0700000000243,1822.154999999976
LIMIT,10.0,20.0,10.0,500.0,52,17.307692307692307,-910.9000000000776,0.8036451428632853,3792.7500000000127,1201.4749999999876
LIMIT,10.0,20.0,10.0,800.0,52,17.307692307692307,-920.5050000001245,0.8015746758495547,3802.3550000000596,1191.8699999999408
LIMIT,10.0,20.0,10.0,1000.0,52,17.307692307692307,-920.5050000001245,0.8015746758495547,3802.3550000000596,1191.8699999999408
LIMIT,10.0,20.0,12.0,300.0,52,21.153846153846153,-1249.5800000000681,0.7284663951142147,3768.605000000023,1225.6199999999772
LIMIT,10.0,20.0,12.0,500.0,52,17.307692307692307,-1880.2600000000566,0.6270180147208221,4399.285000000012,594.9399999999887
LIMIT,10.0,20.0,12.0,800.0,52,17.307692307692307,-1685.345000000074,0.6656827651599541,4204.370000000029,789.8549999999714
LIMIT,10.0,20.0,12.0,1000.0,52,15.384615384615385,-2450.2050000000454,0.5425440451219125,4969.2300000000005,24.99499999999989
LIMIT,10.0,20.0,15.0,300.0,52,25.0,-2285.080000000056,0.49739910392805575,3862.7049999999945,1131.520000000006
LIMIT,10.0,20.0,15.0,500.0,52,23.076923076923077,-1733.9150000001227,0.6508712036170808,4255.285000000061,738.9399999999396
LIMIT,10.0,20.0,15.0,800.0,52,21.153846153846153,-2293.775000000094,0.561118015155718,4815.145000000032,179.0799999999681
LIMIT,10.0,20.0,15.0,1000.0,52,21.153846153846153,-2372.3750000000773,0.5460789969395671,4815.145000000032,179.0799999999681
LIMIT,10.0,25.0,8.0,300.0,52,19.230769230769234,392.259999999907,1.0932329683336637,3169.5900000000283,1824.634999999972
LIMIT,10.0,25.0,8.0,500.0,52,13.461538461538462,-469.50000000007867,0.8980484807160538,4031.3500000000136,962.8749999999868
LIMIT,10.0,25.0,8.0,800.0,52,13.461538461538462,4.944999999871925,1.0010738024767751,3556.905000000063,1437.3199999999374
